Date,Deceased,Hospital_admissions,Covid19_positives
2020-02-27,0,1,0
2020-02-28,0,0,1
2020-02-29,0,1,1
2020-03-01,0,0,3
2020-03-02,0,0,5
2020-03-03,0,1,4
2020-03-04,0,1,10
2020-03-05,0,3,17
2020-03-06,0,5,40
2020-03-07,1,7,50
2020-03-08,1,11,32
2020-03-09,1,5,61
2020-03-10,0,9,130
2020-03-11,1,17,123
2020-03-12,0,22,127
2020-03-13,2,23,113
2020-03-14,4,28,219
2020-03-15,7,24,173
2020-03-16,4,40,270
2020-03-17,17,105,288
2020-03-18,15,91,347
2020-03-19,23,73,396
2020-03-20,28,141,533
2020-03-21,30,200,637
2020-03-22,44,161,605
2020-03-23,32,229,553
2020-03-24,62,245,749
2020-03-25,76,325,843
2020-03-26,71,317,1007
2020-03-27,122,339,1167
2020-03-28,89,462,1146
2020-03-29,122,510,1092
2020-03-30,84,489,874
2020-03-31,168,695,836
2020-04-01,133,495,1008
2020-04-02,155,602,1083
2020-04-03,145,501,1020
2020-04-04,187,363,1002
2020-04-05,103,233,1099
2020-04-06,91,258,945
2020-04-07,231,285,782
2020-04-08,157,313,959
2020-04-09,143,250,1209
2020-04-10,119,211,1327
2020-04-11,142,214,1301
2020-04-12,96,194,1171
2020-04-13,74,129,959
2020-04-14,107,206,862
2020-04-15,202,208,730
2020-04-16,177,169,1071
2020-04-17,153,155,1234
2020-04-18,149,138,1186
2020-04-19,79,101,1023
2020-04-20,59,79,748
2020-04-21,163,117,716
2020-04-22,134,129,708
2020-04-23,133,132,877
2020-04-24,111,126,805
2020-04-25,127,101,647
2020-04-26,64,80,651
2020-04-27,44,61,405
2020-04-28,47,90,193
2020-04-29,141,80,388
2020-04-30,85,91,507
2020-05-01,101,78,479
2020-05-02,87,99,437
2020-05-03,82,42,338
2020-05-04,15,32,201
2020-05-05,90,84,319
2020-05-06,33,25,319
2020-05-07,89,35,361
2020-05-08,76,70,320
2020-05-09,66,60,288
2020-05-10,19,26,242
2020-05-11,7,29,179
2020-05-12,56,41,195
2020-05-13,52,60,223
2020-05-14,30,29,274
2020-05-15,50,37,202
2020-05-16,34,49,194
2020-05-17,10,11,125
2020-05-18,13,30,148
2020-05-19,24,33,111
2020-05-20,33,14,187
2020-05-21,29,13,254
2020-05-22,10,10,184
2020-05-23,23,13,177
2020-05-24,11,12,173
2020-05-25,9,10,213
2020-05-26,20,7,129
2020-05-27,19,10,194
2020-05-28,27,16,179
2020-05-29,29,10,178
2020-05-30,20,5,141
2020-05-31,4,7,176
2020-06-01,5,8,105
2020-06-02,4,6,96
2020-06-03,13,11,93
2020-06-04,12,10,188
2020-06-05,15,10,217
2020-06-06,8,6,190
2020-06-07,3,3,239
2020-06-08,3,7,166
2020-06-09,13,6,164
2020-06-10,14,4,181
2020-06-11,4,3,162
2020-06-12,7,5,207
2020-06-13,6,11,181
2020-06-14,1,8,144
2020-06-15,7,2,159
2020-06-16,4,2,134
2020-06-17,5,5,113
2020-06-18,3,3,125
2020-06-19,4,9,108
2020-06-20,8,2,90
2020-06-21,1,3,95
2020-06-22,0,1,68
2020-06-23,5,4,70
2020-06-24,3,5,80
2020-06-25,3,4,110
2020-06-26,2,5,94
2020-06-27,3,3,77
2020-06-28,0,3,66
2020-06-29,2,3,76
2020-06-30,5,2,57
2020-07-01,3,2,62
2020-07-02,3,0,75
2020-07-03,1,4,76
2020-07-04,7,1,65
2020-07-05,1,0,72
2020-07-06,0,0,41
2020-07-07,4,1,34
2020-07-08,4,6,57
2020-07-09,2,0,60
2020-07-10,0,3,65
2020-07-11,5,4,84
2020-07-12,0,2,95
2020-07-13,0,1,72
2020-07-14,11,8,98
2020-07-15,2,4,109
2020-07-16,2,2,119
2020-07-17,2,1,109
2020-07-18,1,3,145
2020-07-19,0,3,145
2020-07-20,0,2,183
2020-07-21,1,1,169
2020-07-22,2,1,170
2020-07-23,1,2,164
2020-07-24,0,4,155
2020-07-25,1,3,184
2020-07-26,0,2,213
2020-07-27,1,3,209
2020-07-28,4,4,224
2020-07-29,2,6,248
2020-07-30,0,3,341
2020-07-31,0,8,341
2020-08-01,1,4,431
2020-08-02,1,5,361
2020-08-03,0,7,372
2020-08-04,2,8,487
2020-08-05,3,5,428
2020-08-06,0,3,605
2020-08-07,1,4,517
2020-08-08,3,3,484
2020-08-09,0,9,577
2020-08-10,0,6,787
2020-08-11,2,8,620
2020-08-12,2,10,653
2020-08-13,4,6,576
2020-08-14,2,12,627
2020-08-15,2,7,657
2020-08-16,3,6,499
2020-08-17,0,5,487
2020-08-18,3,4,493
2020-08-19,6,18,553
2020-08-20,9,10,532
2020-08-21,1,18,533
2020-08-22,5,11,507
2020-08-23,0,7,455
2020-08-24,2,5,573
2020-08-25,5,15,416
2020-08-26,8,20,572
2020-08-27,3,7,509
2020-08-28,3,9,502
2020-08-29,4,2,503
2020-08-30,0,3,506
2020-08-31,0,10,526
2020-09-01,6,5,467
2020-09-02,5,6,721
2020-09-03,2,5,600
2020-09-04,2,7,744
2020-09-05,5,5,651
2020-09-06,2,5,920
2020-09-07,0,8,796
2020-09-08,1,6,970
2020-09-09,2,9,1141
2020-09-10,3,16,837
2020-09-11,3,10,1272
2020-09-12,1,6,1224
2020-09-13,1,17,1088
2020-09-14,2,8,1297
2020-09-15,2,25,1376
2020-09-16,2,15,1539
2020-09-17,6,14,1741
2020-09-18,6,12,1960
2020-09-19,3,32,1892
2020-09-20,4,20,1845
2020-09-21,2,26,2217
2020-09-22,10,30,2237
2020-09-23,5,32,2339
2020-09-24,16,24,2542
2020-09-25,16,34,2766
2020-09-26,38,29,2706
2020-09-27,8,36,2978
2020-09-28,6,38,2909
2020-09-29,13,48,3008
2020-09-30,13,45,3292
2020-10-01,13,44,3255
2020-10-02,9,22,3814
2020-10-03,20,32,3944
2020-10-04,4,24,3996
2020-10-05,7,56,4562
2020-10-06,21,82,4533
2020-10-07,36,62,4979
2020-10-08,12,49,5800
2020-10-09,14,65,5967
2020-10-10,23,51,6485
2020-10-11,16,54,6352
2020-10-12,13,58,6817
2020-10-13,33,105,7346
2020-10-14,32,76,7261
2020-10-15,29,76,7793
2020-10-16,18,85,7965
2020-10-17,28,75,8112
2020-10-18,14,69,8154
2020-10-19,17,82,7995
2020-10-20,46,90,8150
2020-10-21,57,101,8724
2020-10-22,46,109,9260
2020-10-23,47,109,9981
2020-10-24,55,93,8648
2020-10-25,27,111,10178
2020-10-26,26,75,10312
2020-10-27,69,107,10273
2020-10-28,54,87,8082
2020-10-29,62,84,10253
2020-10-30,87,105,11080
2020-10-31,51,117,9781
2020-11-01,39,109,8698
2020-11-02,29,89,8279
2020-11-03,113,99,7749
2020-11-04,103,101,7616
2020-11-05,87,100,6952
2020-11-06,116,91,7240
2020-11-07,73,122,6639
2020-11-08,43,94,5671
2020-11-09,38,54,4687
2020-11-10,95,74,4654
2020-11-11,76,74,5393
2020-11-12,85,93,5627
2020-11-13,54,86,6076
2020-11-14,84,97,5906
2020-11-15,44,98,5426
2020-11-16,45,85,4851
2020-11-17,87,78,4294
2020-11-18,82,102,4599
2020-11-19,75,95,5702
2020-11-20,50,64,5946
2020-11-21,47,83,6045
2020-11-22,21,67,5381
2020-11-23,54,51,5195
2020-11-24,90,80,3959
2020-11-25,74,75,4924
2020-11-26,74,64,4485
2020-11-27,83,77,5772
2020-11-28,58,67,4483
2020-11-29,25,74,5575
2020-11-30,28,54,4591
2020-12-01,62,59,4042
2020-12-02,66,61,4917
2020-12-03,59,73,5613
2020-12-04,57,54,5897
2020-12-05,39,62,6540
2020-12-06,25,51,6781
2020-12-07,19,75,7106
2020-12-08,70,70,6144
2020-12-09,66,76,6561
2020-12-10,64,72,8735
2020-12-11,65,58,8853
2020-12-12,53,78,9139
2020-12-13,29,83,9890
2020-12-14,35,75,8474
2020-12-15,86,65,6653
2020-12-16,77,66,11187
2020-12-17,76,96,12797
2020-12-18,83,85,11980
2020-12-19,56,103,12247
2020-12-20,31,101,13025
2020-12-21,31,76,11185
2020-12-22,116,86,9849
2020-12-23,106,95,10426
2020-12-24,89,92,11529
2020-12-25,97,86,11550
